name,type,count
majorvonreg,pilot,10
holo,pilot,13
ember,pilot,12
firstorderprovocateur,pilot,19
midnight,pilot,7
commandermalarus,pilot,6
scorch,pilot,7
static,pilot,3
longshot,pilot,5
omegasquadronace,pilot,8
muse,pilot,5
tn3465,pilot,6
zetasquadronpilot,pilot,5
epsilonsquadroncadet,pilot,5
lieutenantrivas,pilot,7
null,pilot,6
quickdraw,pilot,8
backdraft,pilot,11
omegasquadronexpert,pilot,14
zetasquadronsurvivor,pilot,13
lieutenantlehuse,pilot,16
captainphasma,pilot,8
blackout,pilot,2
kyloren,pilot,1
firstordertestpilot,pilot,4
recoil,pilot,8
avenger,pilot,13
sienarjaemusengineer,pilot,8
rush,pilot,9
lieutenantdormitz,pilot,2
majorstridan,pilot,6
pettyofficerthanisson,pilot,6
starkillerbasepilot,pilot,10
lieutenanttavson,pilot,10
captaincardinal,pilot,2
lieutenantkarsabi,pilot,6
majorvynder,pilot,7
nusquadronpilot,pilot,3
rhosquadronpilot,pilot,6
captainkagi,pilot,2
coloneljendon,pilot,10
lieutenantsai,pilot,8
omicrongrouppilot,pilot,7
baronoftheempire,pilot,4
grandinquisitor,pilot,4
inquisitor,pilot,5
seventhsister,pilot,6
fifthbrother,pilot,5
darthvader,pilot,6
maarekstele,pilot,5
stormsquadronace,pilot,4
tempestsquadronpilot,pilot,4
vedfoslo,pilot,6
zertikstrom,pilot,5
doubleedge,pilot,7
lieutenantkestal,pilot,8
onyxsquadronscout,pilot,6
sienarspecialist,pilot,8
deathrain,pilot,4
redline,pilot,6
cutlasssquadronpilot,pilot,2
colonelvessery,pilot,1
countessryad,pilot,3
deltasquadronpilot,pilot,3
onyxsquadronace,pilot,3
rexlerbrath,pilot,2
alphasquadronpilot,pilot,9
sabersquadronace,pilot,5
soontirfel,pilot,5
turrphennir,pilot,6
howlrunner,pilot,1
maulermithel,pilot,3
nightbeast,pilot,3
scourgeskutu,pilot,1
wampa,pilot,2
academypilot,pilot,1
blacksquadronace,pilot,2
delmeeko,pilot,3
gideonhask,pilot,2
idenversio,pilot,4
obsidiansquadronpilot,pilot,2
seynmarana,pilot,5
valenrudor,pilot,4
echo,pilot,1
whisper,pilot,4
imdaartestpilot,pilot,1
sigmasquadronace,pilot,5
vizier,pilot,7
captainferoph,pilot,6
majorvermeil,pilot,7
scarifbasepilot,pilot,10
deathfire,pilot,7
captainjonus,pilot,6
gammasquadronace,pilot,7
majorrhymer,pilot,4
scimitarsquadronpilot,pilot,4
tomaxbren,pilot,2
countdown,pilot,6
duchess,pilot,4
puresabacc,pilot,3
blacksquadronscout,pilot,6
planetarysentinel,pilot,5
vagabond,pilot,3
captainoicunn,pilot,5
patrolleader,pilot,5
rearadmiralchiraneau,pilot,2
mornakee,pilot,2
sinker,pilot,7
jag,pilot,3
oddball-arc170starfighter,pilot,6
wolffe,pilot,9
104thbattalionpilot,pilot,10
squadsevenveteran,pilot,3
shadowsquadronveteran,pilot,6
anakinskywalker-btlbywing,pilot,2
r2d2,pilot,7
oddball-btlbywing,pilot,4
matchstick,pilot,3
broadside,pilot,7
goji,pilot,6
redsquadronbomber,pilot,6
jediknight,pilot,8
obiwankenobi,pilot,8
plokoon,pilot,5
saeseetiin,pilot,7
macewindu,pilot,7
anakinskywalker,pilot,9
ahsokatano,pilot,5
barrissoffee,pilot,6
luminaraunduli,pilot,6
anakinskywalker-nabooroyaln1starfighter,pilot,10
ricolie,pilot,8
padmeamidala,pilot,13
dineeellberger,pilot,6
bravoflightofficer,pilot,11
naboohandmaiden,pilot,3
kickback,pilot,3
oddball,pilot,7
swoop,pilot,6
axe,pilot,6
tucker,pilot,6
bluesquadronprotector,pilot,9
goldsquadrontrooper,pilot,11
bladesquadronveteran,pilot,7
bluesquadronpilot,pilot,3
braylenstramm,pilot,6
tennumb,pilot,0
ginamoonsong,pilot,2
garvendreis,pilot,1
ibtisam,pilot,5
norrawexley,pilot,3
sharabey,pilot,1
zeborrelios,pilot,3
ezrabridger,pilot,5
herasyndulla,pilot,3
sabinewren,pilot,4
kashyyykdefender,pilot,2
lowhhrick,pilot,5
wullffwarro,pilot,2
dutchvander,pilot,3
evaanverlaine,pilot,3
goldsquadronveteran,pilot,3
graysquadronbomber,pilot,0
hortonsalm,pilot,4
norrawexley-btla4ywing,pilot,5
esegetuketu,pilot,8
mirandadoni,pilot,5
wardensquadronpilot,pilot,4
corranhorn,pilot,9
gavindarklighter,pilot,3
knavesquadronescort,pilot,5
roguesquadronescort,pilot,5
janors,pilot,7
kylekatarn,pilot,2
rebelscout,pilot,5
roarkgarnet,pilot,2
chewbacca,pilot,4
hansolo-modifiedyt1300lightfreighter,pilot,1
landocalrissian-modifiedyt1300lightfreighter,pilot,3
outerrimsmuggler,pilot,4
leiaorgana,pilot,2
arvelcrynyd,pilot,8
greensquadronpilot,pilot,4
jakefarrell,pilot,4
phoenixsquadronpilot,pilot,4
zeborrelios-sheathipedeclassshuttle,pilot,3
ap5,pilot,5
ezrabridger-sheathipedeclassshuttle,pilot,1
fennrau-sheathipedeclassshuttle,pilot,8
biggsdarklighter,pilot,1
bluesquadronescort,pilot,2
cavernangelszealot,pilot,2
edriotwotubes,pilot,2
garvendreis-t65xwing,pilot,2
jekporkins,pilot,1
kullbeesperado,pilot,4
leevantenza,pilot,1
lukeskywalker,pilot,0
redsquadronveteran,pilot,2
thanekyrell,pilot,0
wedgeantilles,pilot,3
zeborrelios-tielnfighter,pilot,8
captainrex,pilot,6
ezrabridger-tielnfighter,pilot,4
sabinewren-tielnfighter,pilot,4
benthictwotubes,pilot,4
bluesquadronscout,pilot,1
bodhirook,pilot,1
cassianandor,pilot,2
hefftobber,pilot,1
magvayarro,pilot,3
partisanrenegade,pilot,2
sawgerrera,pilot,0
k2so,pilot,0
chopper,pilot,6
herasyndulla-vcx100lightfreighter,pilot,5
kananjarrus,pilot,1
lothalrebel,pilot,2
alexsandrkallus,pilot,3
leebo,pilot,2
dashrendar,pilot,2
wildspacefringer,pilot,3
airencracken,pilot,4
banditsquadronpilot,pilot,2
lieutenantblount,pilot,12
talasquadronpilot,pilot,4
colossusstationmechanic,pilot,11
jarekyeager,pilot,8
kazudaxiono,pilot,7
r1j5,pilot,7
cobaltsquadronbomber,pilot,2
cat,pilot,2
vennie,pilot,0
benteene,pilot,1
edonkappehl,pilot,2
finchdallow,pilot,2
paigetico,pilot,4
bb8,pilot,5
rosetico,pilot,10
vimoradi,pilot,4
finn,pilot,7
covanell,pilot,8
pammichnerrogoode,pilot,8
nodinchavdri,pilot,6
